Mauritania,MRT,4.272156787
Mauritius,MUS,623.3019704
Malawi,MWI,192.4397009
Malaysia,MYS,95.96114138
North America,NAC,20.09418705
Namibia,NAM,2.97380024
New Caledonia,NCL,14.80579869
Niger,NER,17.71755822
Nigeria,NGA,215.0649286
Nicaragua,NIC,53.72695696
Netherlands,NLD,511.7797446
Norway,NOR,14.54889562
Nepal,NPL,195.9938054
Nauru,NRU,533.9
New Zealand,NZL,18.61152254
OECD members,OED,38.24126169
Oman,OMN,15.60412278
Other small states,OSS,15.13593297
Pakistan,PAK,275.3065172
Panama,PAN,56.30947598
Peru,PER,24.99161328
Philippines,PHL,357.6865345
Palau,PLW,38.93695652
Papua New Guinea,PNG,19.00438104
Poland,POL,124.0315838
Pre-demographic dividend,PRE,45.36074848
Puerto Rico,PRI,360.0173619
"Korea, Dem. People's Rep.",PRK,212.1884063
Portugal,PRT,112.261936
Paraguay,PRY,17.50835389
West Bank and Gaza,PSE,758.9845515
Pacific island small states,PSS,38.24510903
Post-demographic dividend,PST,35.40179404
French Polynesia,PYF,78.884375
Qatar,QAT,242.0959095
Romania,ROU,84.63999478
Russian Federation,RUS,8.822067892
Rwanda,RWA,498.6610863
South Asia,SAS,380.3287736
Saudi Arabia,SAU,15.67796147
Sudan,SDN,22.60478579
Senegal,SEN,82.34729133
Singapore,SGP,7952.99859
Solomon Islands,SLB,23.32461593
Sierra Leone,SLE,105.9871017
El Salvador,SLV,309.8812741
San Marino,SMR,563.0666667
Somalia,SOM,23.92359008
Serbia,SRB,79.8376858
Sub-Saharan Africa (excluding high income),SSA,45.20402191
South Sudan,SSD,17.36894371
Sub-Saharan Africa,SSF,45.20720678
Small states,SST,16.2212574
Sao Tome and Principe,STP,219.825
Suriname,SUR,3.692224359
Slovak Republic,SVK,113.2855865
Slovenia,SVN,102.9922926
Sweden,SWE,24.98149812
Eswatini,SWZ,66.06244186
Sint Maarten (Dutch part),SXM,1195.705882
Seychelles,SYC,210.3521739
Syrian Arab Republic,SYR,92.27828786
Turks and Caicos Islands,TCA,39.64947368
Chad,TCD,12.29171458
East Asia & Pacific (IDA & IBRD countries),TEA,129.3193525
